name,desc,info,score
血战钢锯岭,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,导演: 梅尔·吉布森 Mel Gibson   主演: 安德鲁·加菲尔德 Andrew Garfield /...,8.7
地球上的星星,天使保护事件始末。,导演: 阿米尔·汗 Aamir Khan   主演: 达席尔·萨法瑞 Darsheel Safary / 阿...,8.8
恐怖游轮,不要企图在重复中寻找已经失去的爱。,导演: 克里斯托弗·史密斯 Christopher Smith   主演: 梅利莎·乔治 Melissa ...,8.3
梦之安魂曲,一场没有春天的噩梦。,导演: 达伦·阿伦诺夫斯基 Darren Aronofsky   主演: 艾伦·伯斯汀 Ellen Bur...,8.7
达拉斯买家俱乐部,Jared Leto的腿比女人还美！,导演: 让-马克·瓦雷 Jean-Marc Vallée   主演: 马修·麦康纳 Matthew McCon...,8.7
被解救的姜戈,热血沸腾，那个低俗、性感的无耻混蛋又来了。,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 杰米·福克斯 Jamie Foxx /...,8.6
阿飞正传,王家卫是一种风格，张国荣是一个代表。,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...,8.5
牯岭街少年杀人事件,弱者送给弱者的一刀。,导演: 杨德昌 Edward Yang   主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,8.7
谍影重重,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,导演: 道格·里曼 Doug Liman   主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦...,8.5
魂断蓝桥,中国式内在的美国电影。,导演: Mervyn LeRoy   主演: Vivien Leigh / Robert Taylor / Lucile Watson,8.8
猜火车,不可猜的青春迷笛。 ,导演: 丹尼·博伊尔 Danny Boyle   主演: 伊万·麦克格雷格 Ewan McGregor / ...,8.5
荒蛮故事,始于荒诞，止于更荒诞。,导演: 达米安·斯兹弗隆 Damián Szifron   主演: 达里奥·葛兰帝内提 Darío...,8.8
穿越时空的少女,爱上未来的你。 ,导演: 细田守 Mamoru Hosoda   主演: 仲里依纱 Riisa Naka / 石田卓也 Takuya...,8.6
玩具总动员3,跨度十五年的欢乐与泪水。,导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,8.8
花样年华,偷情本没有这样美。,导演: 王家卫 Kar Wai Wong   主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,8.5
雨中曲,骨灰级歌舞片。,导演: Stanley Donen / Gene Kelly   主演: Gene Kelly / Donald O'Connor / ...,9.0
小森林 冬春篇,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,8.9
萤火之森,触不到的恋人。,导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,8.7
完美的世界,坏人的好总是比好人的好来得更感人。,导演: 克林特·伊斯特伍德 Clint Eastwood   主演: 凯文·科斯特纳 Kevin Cos...,9.0
教父3,任何信念的力量，都无法改变命运。,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,8.8
叫我第一名,乐观比一切都有力量。,导演: 彼得·维纳 Peter Werner   主演: 詹姆斯·沃克 James Wolk / 特里特·...,8.6
